@relation CM1

@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
1.94591,1.386294,2.302585,3.091042,2.484907,1.386294,0.1,1.791759,0.693147,0.693147,0.5,2.944439,0,-13.815511,3.401197,0.693147,45.35,25.34,29117.23,0.38,5.26269,0.04,1617.62,1149.16,0.25,1.098612,1.791759,2.833213,0.05,4.317488,4.770685,3.610918,3.218876,4.430817,51.61,3.688879,N
2.564949,2.564949,2.772589,3.135494,3.178054,1.94591,0.09,2.484907,0.693147,1.94591,0,3.637586,0,-13.815511,4.077537,2.197225,104.75,22.14,51324.87,0.77,5.855072,0.05,2851.38,2318.71,0.14,1.791759,2.484907,3.496508,0.05,4.836282,5.407172,4.304065,3.258097,4.927254,39.8,4.317488,Y
2.397895,1.386294,2.397895,3.044522,2.995732,1.791759,0.18,2.302585,0.693147,1.098612,0.5,3.178054,0,-13.815511,3.091042,0.693147,25.24,19.95,10047.02,0.17,4.543295,0.05,558.17,503.61,0.17,1.609438,2.302585,2.995732,0.08,3.637586,4.025352,2.995732,3.044522,4.382027,59.26,3.496508,N
2.397895,-13.815511,-13.815511,-13.815511,2.772589,1.791759,0.4,1.791759,2.67,0,0.17,2.890372,1.386294,0.6,2.70805,0.693147,7.45,30.8,7065.15,0.08,3.988984,0.03,392.51,229.39,0.67,1.609438,2.079442,2.639057,0.32,3.091042,3.465736,1.609438,2.639057,2.944439,-13.815511,2.70805,N
3.7612,2.484907,1.791759,4.60517,4.304065,3.135494,0.13,3.583519,2.06,2.833213,0.74,4.762174,2.70805,0.64,5.170484,1.609438,140.31,37.2,194194.61,1.74,6.54535,0.03,10788.59,5219.89,0.65,2.944439,3.610918,4.564348,0.06,5.63479,6.030685,4.962845,3.637586,5.966147,37.59,5.204007,N
1.609438,1.098612,-13.815511,1.098612,2.079442,1.098612,0.15,1.386294,0.693147,1.098612,0,2.70805,0,-13.815511,2.995732,-13.815511,38.85,12.28,5856.79,0.16,4.532599,0.08,325.38,477.02,0.33,0.693147,1.386294,2.639057,0.1,3.258097,4.204693,2.890372,2.833213,3.367296,13.04,2.995732,N
1.609438,0.693147,2.197225,1.94591,2.079442,1.098612,0.11,1.386294,0.693147,1.098612,0,2.302585,0,-13.815511,2.944439,-13.815511,37.6,9.75,3574.45,0.12,4.304065,0.1,198.58,366.61,0.33,0.693147,1.386294,2.197225,0.06,3.295837,3.850148,2.890372,2.564949,3.89182,45.71,3.332205,N
1.94591,0,-13.815511,-13.815511,2.302585,1.386294,0.18,1.386294,2.5,0.693147,0.5,2.484907,1.098612,0.67,3.091042,-13.815511,21.05,14.77,4591.91,0.1,4.158883,0.07,255.11,310.91,0.75,1.098612,1.609438,2.302585,0.14,3.178054,3.688879,2.564949,2.772589,3.332205,-13.815511,3.091042,N
1.098612,0,-13.815511,-13.815511,1.386294,0.693147,0.2,0.693147,0.693147,0.693147,0,1.791759,0,-13.815511,2.302585,-13.815511,10.75,1.94591,526.99,0.03,3.044522,0.14,29.28,75.28,0.5,0,0.693147,1.791759,0.17,1.94591,2.639057,1.386294,2.079442,2.484907,-13.815511,2.302585,N
1.098612,0.693147,0,2.944439,1.386294,0.693147,0.09,0.693147,0.693147,0.693147,0,1.94591,0,-13.815511,3.091042,0,37.27,15.43,8872.37,0.19,4.736198,0.06,492.91,575.06,0.5,0,0.693147,1.94591,0.03,3.988984,4.094345,3.044522,2.484907,4.248495,47.62,3.135494,Y
1.098612,1.386294,-13.815511,1.098612,1.386294,0.693147,0.11,0.693147,0.693147,0.693147,0,2.079442,0,-13.815511,2.944439,0.693147,33.23,9.41,2943.55,0.1,4.127134,0.11,163.53,312.75,0.5,0,0.693147,2.079442,0.08,2.995732,3.73767,2.833213,2.772589,3.178054,13.64,2.944439,N
1.94591,1.098612,1.098612,2.484907,2.484907,1.386294,0.17,1.791759,0.693147,1.386294,0,2.772589,0,-13.815511,2.995732,-13.815511,47.35,11.12,5850.56,0.18,4.574711,0.09,325.03,526.35,0.25,1.098612,1.791759,2.639057,0.08,3.526361,4.143135,3.258097,2.833213,3.912023,42.86,3.135494,N
1.94591,2.197225,0,3.135494,2.302585,1.386294,0.17,1.386294,2.5,1.386294,0,2.995732,0,-13.815511,3.135494,-13.815511,34.26,11.57,4586.97,0.13,4.317488,0.09,254.83,396.41,0.25,1.098612,1.609438,2.890372,0.08,3.295837,3.871201,3.044522,2.890372,3.871201,51.06,3.178054,N
2.397895,1.609438,1.098612,2.079442,2.890372,1.791759,0.24,2.079442,2.25,1.386294,0.67,3.332205,1.609438,0.8,3.091042,-13.815511,37.5,29.45,32535.15,0.37,5.231109,0.03,1807.51,1104.59,0.83,1.609438,2.197225,3.178054,0.12,4.276666,4.744932,3.496508,3.295837,3.912023,33.33,3.218876,N
1.609438,1.609438,-13.815511,2.397895,2.079442,1.098612,0.11,1.386294,0.693147,1.098612,0,2.564949,0,-13.815511,3.332205,0.693147,47.22,11.69,6449.49,0.18,4.634729,0.09,358.3,551.83,0.33,0.693147,1.386294,2.484907,0.07,3.496508,4.248495,3.178054,2.833213,3.713572,28.21,3.332205,N
1.94591,1.098612,1.098612,2.079442,2.484907,1.386294,0.25,1.791759,0.693147,1.386294,0,2.70805,0,-13.815511,2.564949,-13.815511,26.75,11.03,3253.68,0.1,4.077537,0.09,180.76,5.686975,0.25,1.098612,1.791759,2.564949,0.1,3.218876,3.526361,2.833213,2.70805,3.688879,45.83,2.772589,N
2.833213,2.197225,1.609438,3.258097,3.401197,2.197225,0.13,2.639057,2.14,1.94591,0.78,3.78419,1.386294,0.38,4.189655,1.609438,76.03,28.98,63864.99,0.73,5.834811,0.03,3548.06,2203.49,0.44,2.079442,2.70805,3.610918,0.07,4.912655,5.327876,4.110874,3.258097,4.882802,31.96,4.26268,N
1.609438,-13.815511,-13.815511,-13.815511,2.079442,1.098612,0.33,1.386294,0.693147,0,0.33,2.197225,0,-13.815511,2.197225,0,12.09,14.14,2417.96,0.06,3.713572,0.07,134.33,170.97,0.33,0.693147,1.386294,2.079442,0.27,2.890372,3.135494,1.94591,2.397895,2.397895,-13.815511,2.197225,N
3.367296,2.079442,0.693147,4.174387,4.025352,2.70805,0.1,3.332205,0.693147,1.791759,0.4,4.304065,2.397895,0.71,5.003946,1.791759,118.83,46.92,261640.64,1.86,6.660575,0.02,14535.59,5575.99,0.73,2.639057,3.332205,4.110874,0.07,5.808142,6.104793,4.70048,3.433987,5.42495,31.02,5.01728,N
1.94591,1.098612,1.098612,0.693147,2.484907,1.386294,0.15,1.791759,0.693147,1.386294,0,2.833213,0,-13.815511,3.178054,0.693147,26.32,2.772589,6737.71,0.14,4.442651,0.06,374.32,421.11,0.25,1.098612,1.791759,2.70805,0.11,3.401197,4.007333,2.70805,2.772589,3.555348,17.24,3.295837,N
3.433987,2.197225,3.332205,2.833213,3.951244,2.772589,0.15,3.091042,2.36,2.397895,0.69,4.219508,2.302585,0.6,4.330733,1.609438,108.35,33.87,124313.16,1.22,6.265301,0.03,6906.29,3670.05,0.63,2.70805,3.258097,3.988984,0.1,5.293305,5.78996,4.543295,3.465736,5.056246,37.19,4.644391,N
3.713572,2.639057,2.772589,3.610918,4.356709,3.044522,0.28,3.637586,2.05,2.70805,0.71,4.644391,1.609438,0.2,4.094345,1.098612,78.4,74.77,438244.07,1.95,6.710523,0.01,24346.89,5861.57,0.24,2.995732,3.663562,4.442651,0.13,5.765191,6.2186,4.564348,3.806662,5.09375,46.9,4.330733,N
2.397895,-13.815511,0.693147,0.693147,2.772589,1.791759,0.38,1.791759,2.67,0,0.17,2.890372,1.609438,0.8,2.639057,0.693147,15.76,17.6,4880.94,0.09,4.077537,0.06,271.16,277.33,0.83,1.609438,2.079442,2.639057,0.24,3.091042,3.610918,2.302585,2.772589,3.218876,22.22,2.772589,N
1.098612,1.098612,0.693147,1.94591,1.386294,0.693147,0.13,0.693147,0.693147,0,0.5,2.079442,0,-13.815511,2.639057,0.693147,25.23,9.5,2277.36,0.08,3.931826,0.11,126.52,239.72,0.5,0,0.693147,2.079442,0.06,2.944439,3.465736,2.564949,2.564949,3.433987,39.13,2.772589,N
1.098612,0,0.693147,-13.815511,1.386294,0.693147,0.06,0.693147,0.693147,0.693147,0,3.135494,0,-13.815511,3.496508,-13.815511,64.01,11.65,8684.99,0.25,4.905275,0.09,482.5,745.68,0.5,0,0.693147,3.135494,0.04,4.189655,4.234107,3.526361,2.484907,4.007333,5.71,3.555348,N
1.94591,1.609438,1.609438,0,2.484907,1.386294,0.18,1.791759,0.693147,1.098612,0.75,3.044522,0,-13.815511,2.833213,0.693147,31.11,12.06,4520.83,0.13,4.317488,0.08,251.16,5.926926,0.25,1.098612,1.791759,2.944439,0.12,3.433987,3.78419,2.890372,2.639057,3.526361,26.09,3.091042,N
1.098612,-13.815511,0,1.791759,1.386294,0.693147,0.22,0.693147,0.693147,0,0.5,1.609438,0,-13.815511,2.079442,0,10.63,3.75,149.49,0.01,2.484907,0.27,8.3,39.86,0.5,0,0.693147,1.609438,0.11,1.609438,1.94591,1.386294,1.791759,2.944439,46.67,2.197225,N
2.397895,0,1.098612,-13.815511,2.995732,1.791759,0.21,2.302585,0.693147,1.791759,0,3.637586,0,-13.815511,3.218876,0.693147,42.36,23.73,23858.84,0.34,5.204007,0.04,1325.49,1005.29,0.17,1.609438,2.302585,3.526361,0.18,4.488636,4.532599,3.401197,2.772589,3.496508,10.71,3.332205,N
2.944439,2.079442,0,0,3.332205,2.397895,0.17,2.639057,0.693147,2.197225,0.82,4.007333,2.302585,0.9,4.143135,0.693147,40.21,43.24,75169.98,0.58,5.676754,0.02,4176.1,1738.63,0.91,1.94591,2.639057,3.828641,0.13,4.65396,5.231109,3.526361,3.332205,4.477337,3.08,4.158883,N
3.367296,-13.815511,2.079442,3.555348,3.78419,2.70805,0.28,2.772589,2.75,0,0.07,3.806662,1.098612,0.14,3.828641,-13.815511,61.1,22.3,30377.95,0.45,5.476464,0.04,1687.66,1362.41,0.2,2.639057,3.091042,3.465736,0.13,4.70048,4.859812,3.610918,2.70805,4.718499,48.31,3.988984,N
1.94591,0.693147,2.397895,1.609438,2.484907,1.386294,0.13,1.791759,0.693147,1.098612,0.75,2.70805,0,-13.815511,3.044522,1.609438,49.79,9.48,4476.07,0.16,4.465908,0.11,248.67,472.09,0.25,1.098612,1.791759,2.564949,0.08,3.465736,4.007333,3.295837,2.772589,3.951244,43.24,3.465736,N
1.94591,1.098612,1.386294,-13.815511,2.484907,1.386294,0.19,1.791759,0.693147,1.386294,0,2.833213,1.386294,0,2.833213,0.693147,26.81,10.4,2899.8,0.09,4.060443,0.1,161.1,278.83,0,1.098612,1.791759,2.70805,0.13,3.178054,3.526361,2.70805,2.564949,3.433987,19.05,3.044522,N
1.94591,0,0,1.609438,2.484907,1.386294,0.17,1.791759,0.693147,1.386294,0,2.639057,1.386294,0,3.135494,0,46.9,10.5,5170.32,0.16,4.564348,0.1,287.24,492.41,0,1.098612,1.791759,2.484907,0.11,3.332205,4.219508,2.995732,2.70805,3.610918,20.69,3.178054,N
1.609438,0.693147,2.302585,1.791759,2.079442,1.098612,0.12,1.386294,0.693147,1.098612,0,2.302585,0,-13.815511,2.772589,-13.815511,39.8,2.197225,3223.83,0.12,4.290459,0.11,179.1,358.2,0.33,0.693147,1.386294,2.197225,0.07,3.295837,3.828641,2.890372,2.484907,3.73767,3.912023,3.258097,N
2.197225,0.693147,0,-13.815511,2.772589,1.609438,0.16,2.079442,0.693147,1.609438,0,3.713572,0,-13.815511,3.401197,0,4.356709,13.61,14437.64,0.35,5.241747,0.07,802.09,1061.18,0.2,1.386294,2.079442,3.637586,0.15,4.543295,4.553877,3.637586,2.397895,3.526361,3.23,3.433987,N
1.94591,0,-13.815511,1.791759,2.302585,1.386294,0.15,1.386294,2.5,0.693147,0.5,2.564949,1.098612,0.67,3.258097,0.693147,38.77,13.2,6756.06,0.17,4.59512,0.08,375.34,511.82,0.75,1.098612,1.609438,2.397895,0.11,3.496508,4.189655,2.995732,2.772589,3.637586,18.75,3.258097,N
1.609438,0,1.386294,-13.815511,2.079442,1.098612,0.12,1.386294,0.693147,1.098612,0,2.639057,0,-13.815511,3.091042,-13.815511,24.31,14.06,4807.12,0.11,4.234107,0.07,267.06,341.84,0.33,0.693147,1.386294,2.564949,0.09,3.401197,3.663562,2.772589,2.70805,3.496508,15.38,3.258097,N
1.609438,0,1.94591,2.197225,2.079442,1.098612,0.16,1.386294,0.693147,0.693147,0.67,2.302585,0,-13.815511,2.484907,0,28.99,18.12,9514.39,0.18,4.663439,0.06,528.58,525.14,0.33,0.693147,1.386294,2.197225,0.07,3.78419,4.127134,2.833213,2.639057,3.78419,57.14,2.944439,N
3.555348,2.302585,2.197225,4.290459,4.127134,2.890372,0.16,3.332205,2.21,2.302585,0.56,4.317488,2.197225,0.47,4.672829,0,51.85,64.92,218524.86,1.12,6.246107,0.02,12140.27,3366.16,0.5,2.833213,3.433987,4.077537,0.07,5.26269,5.777652,4.007333,3.610918,5.484797,43.39,4.75359,Y
3.135494,2.302585,3.401197,2.890372,3.73767,2.484907,0.13,2.995732,2.1,2.302585,0.83,4.158883,1.098612,0.18,4.143135,1.098612,85.71,38.23,125251.55,1.09,6.188264,0.03,6958.42,3276.5,0.25,2.397895,3.044522,3.988984,0.06,5.313206,5.648974,4.343805,3.367296,5.225747,43.24,4.532599,N
2.944439,2.079442,3.555348,3.433987,3.583519,2.302585,0.13,2.890372,0.693147,2.079442,0.8,3.871201,0,-13.815511,3.688879,-13.815511,83.37,31.3,81653.73,0.87,5.988961,0.03,4536.32,2609.12,0.1,2.197225,2.890372,3.688879,0.07,5.030438,5.505332,4.189655,3.295837,5.030438,62.26,4.317488,N
2.397895,1.386294,1.609438,2.944439,2.995732,1.791759,0.18,2.302585,0.693147,1.386294,0.67,3.135494,0,-13.815511,3.332205,0.693147,30.61,23.1,16332.07,0.24,4.85203,0.04,907.34,707.02,0.17,1.609438,2.302585,2.944439,0.08,4.007333,4.290459,3.218876,3.044522,4.317488,46.15,3.496508,N
1.098612,0.693147,-13.815511,-13.815511,1.386294,0.693147,0.11,0.693147,0.693147,0,0.5,2.079442,0,-13.815511,2.944439,0.693147,24.71,10.58,2764.2,0.09,4.043051,0.09,153.57,261.33,0.5,0,0.693147,2.079442,0.09,3.218876,3.465736,2.564949,2.397895,3.135494,-13.815511,2.944439,N
2.564949,1.791759,0,2.772589,3.178054,1.94591,0.18,2.484907,0.693147,1.609438,0.71,3.367296,0,-13.815511,3.663562,1.609438,29.5,36.25,38771.24,0.36,5.220356,0.03,2153.96,1069.55,0.14,1.791759,2.484907,3.178054,0.1,4.174387,4.787492,3.258097,3.367296,4.204693,30.36,3.688879,N
1.609438,0.693147,-13.815511,-13.815511,2.079442,1.098612,0.14,1.386294,0.693147,1.098612,0,2.484907,0,-13.815511,3.044522,0,36.48,10.43,3969.82,0.13,4.276666,0.1,220.55,380.55,0.33,0.693147,1.386294,2.397895,0.14,3.295837,3.806662,3.091042,2.833213,3.091042,-13.815511,3.044522,N
2.833213,1.386294,1.609438,3.465736,3.332205,2.197225,0.13,2.484907,2.33,1.791759,0.67,3.663562,1.386294,0.38,4.127134,0.693147,97.49,20.91,42621.97,0.68,5.749393,0.05,2367.89,2038.44,0.44,2.079442,2.639057,3.465736,0.07,4.744932,5.293305,4.189655,3.178054,4.836282,37.37,4.204693,N
1.098612,-13.815511,0.693147,0,2.079442,0.693147,0.18,1.386294,0.693147,0,0.5,1.609438,0,-13.815511,2.197225,0.693147,24.7,7.22,1288.28,0.06,3.688879,0.14,71.57,178.38,0.5,0.693147,1.386294,1.609438,0.13,2.302585,3.401197,2.197225,2.564949,2.772589,3.218876,2.397895,N
1.94591,0,1.098612,-13.815511,2.484907,1.386294,0.18,1.791759,0.693147,1.386294,0,3.218876,0,-13.815511,2.944439,0.693147,40.01,18.29,13377.17,0.24,4.89784,0.05,743.18,731.56,0.25,1.098612,1.791759,3.135494,0.15,4.158883,4.248495,3.332205,2.772589,3.295837,13.64,3.091042,N
3.433987,1.098612,0,2.944439,3.988984,2.772589,0.22,3.178054,2.25,1.94591,0.44,4.110874,2.197225,0.53,4.276666,1.791759,86.16,18.26,28729.02,0.52,5.541264,0.05,1596.06,1573.33,0.56,2.70805,3.332205,3.850148,0.16,4.418841,5.147494,3.912023,3.091042,4.59512,21.74,4.290459,N
1.94591,1.098612,0,2.944439,2.484907,1.386294,0.13,1.791759,0.693147,0.693147,0.5,2.833213,0,-13.815511,3.433987,0,38.55,21.52,17846.19,0.28,4.94876,0.05,991.46,829.45,0.25,1.098612,1.791759,2.70805,0.06,3.931826,4.49981,3.465736,3.295837,4.204693,39.22,3.465736,Y
1.098612,-13.815511,-13.815511,2.079442,1.386294,0.693147,0.22,0.693147,0.693147,0,0.5,1.791759,0,-13.815511,2.197225,-13.815511,11.86,4.38,227.03,0.02,2.70805,0.23,12.61,51.89,0.5,0,0.693147,1.791759,0.22,1.609438,2.302585,1.386294,1.94591,2.197225,47.06,2.197225,N
2.397895,2.302585,1.609438,3.78419,2.995732,1.791759,0.16,2.302585,0.693147,1.791759,0,3.401197,0,-13.815511,3.465736,-13.815511,53.31,12.89,8852.8,0.23,4.812184,0.08,491.82,686.95,0.17,1.609438,2.302585,3.258097,0.05,3.850148,4.330733,3.433987,2.833213,4.820282,60.49,3.610918,N
3.555348,1.609438,1.386294,2.890372,4.158883,2.890372,0.19,3.401197,2.13,2.772589,0.89,4.382027,1.94591,0.35,4.51086,0.693147,195.05,21.41,89412.4,1.39,6.381816,0.05,4967.36,4176.06,0.39,2.833213,3.465736,4.158883,0.15,5.384495,5.921578,4.718499,3.091042,4.770685,19.47,4.553877,Y
3.610918,2.302585,3.78419,4.330733,4.189655,2.944439,0.13,3.465736,2.06,2.079442,0.42,4.406719,2.197225,0.44,4.615121,2.197225,75.03,4.189655,326814.89,1.65,6.529419,0.02,18156.38,4951.74,0.47,2.833213,3.496508,4.174387,0.06,5.575949,6.042633,4.60517,3.912023,5.723585,54.3,4.976734,N
2.397895,1.386294,1.386294,2.772589,2.890372,1.791759,0.19,2.079442,2.25,1.609438,0.83,3.091042,1.098612,0.4,3.295837,1.386294,53.81,14.9,11951.03,0.27,4.941642,0.07,663.95,801.91,0.5,1.609438,2.197225,2.890372,0.09,3.73767,4.584967,3.433987,3.091042,4.219508,42.55,3.433987,N
3.135494,1.94591,1.098612,0,3.583519,2.564949,0.19,2.890372,0.693147,2.197225,0.69,4.077537,2.197225,0.67,4.158883,0.693147,39.47,43.33,74124.42,0.57,5.645447,0.02,4118.02,1710.56,0.69,2.197225,2.890372,3.871201,0.14,4.644391,5.187386,3.583519,3.401197,4.51086,5.88,4.204693,N
3.496508,2.197225,3.218876,2.70805,4.127134,2.833213,0.17,3.401197,2.07,2.397895,0.65,4.465908,2.197225,0.5,4.317488,1.098612,88.15,36.04,114516.56,1.06,6.142037,0.03,6362.03,3177.29,0.53,2.772589,3.433987,4.276666,0.08,5.26269,5.605802,4.418841,3.433987,5.303305,34.78,4.60517,N
2.70805,0.693147,0,2.197225,3.178054,2.079442,0.19,2.302585,2.4,1.791759,0.75,3.178054,1.791759,0.71,3.713572,1.386294,75.22,14.8,16481.41,0.37,5.231109,0.07,915.63,1113.43,0.75,1.94591,2.484907,2.890372,0.15,4.204693,4.787492,3.7612,2.944439,3.988984,19.61,3.73767,N
1.94591,1.609438,1.609438,2.302585,2.484907,1.386294,0.15,1.791759,0.693147,1.386294,0,2.70805,1.386294,0,3.091042,0,28.43,13.42,5120.93,0.13,4.317488,0.07,284.5,381.56,0,1.098612,1.791759,2.564949,0.07,3.526361,3.713572,2.944439,2.70805,4.043051,40.54,3.295837,N
2.564949,1.791759,-13.815511,1.609438,3.178054,1.94591,0.12,2.484907,0.693147,1.791759,0.86,3.433987,0,-13.815511,4.077537,1.386294,95.6,31.4,94278.09,0,6.107023,0.03,5237.67,3002.24,0.14,1.791759,2.484907,3.258097,0.09,5.225747,5.572154,4.343805,3.258097,4.394449,7.81,4.077537,N
1.098612,0.693147,-13.815511,1.94591,1.386294,0.693147,0.13,0.693147,0.693147,0.693147,0,1.791759,0,-13.815511,2.70805,-13.815511,27.05,14.25,5493.37,0.13,4.304065,0.07,305.19,385.5,0.5,0,0.693147,1.791759,0.06,3.295837,3.850148,2.890372,2.944439,3.465736,31.82,2.70805,Y
1.609438,1.386294,0.693147,2.772589,2.079442,1.098612,0.11,1.386294,0.693147,1.098612,0,2.639057,0,-13.815511,3.218876,0,48.49,14.11,9649.29,0.23,4.787492,0.07,536.07,684.05,0.33,0.693147,1.386294,2.564949,0.04,3.89182,4.26268,3.496508,2.944439,4.248495,41.86,3.295837,N
1.609438,1.098612,0.693147,3.091042,2.079442,1.098612,0.14,1.386294,0.693147,0,0.33,2.484907,0,-13.815511,2.944439,0.693147,45.57,9.64,4237.49,0.15,4.442651,0.1,235.42,439.44,0.33,0.693147,1.386294,2.397895,0.05,3.295837,4.060443,3.044522,2.70805,4.025352,55.81,3.044522,Y
2.564949,1.386294,1.386294,2.890372,2.995732,1.94591,0.22,2.079442,2.5,1.609438,0.71,3.178054,1.609438,0.67,3.332205,1.386294,55.58,14.56,11789.43,0.27,4.955827,0.07,654.97,809.46,0.71,1.791759,2.302585,2.944439,0.09,3.7612,4.59512,3.433987,3.044522,4.343805,3.78419,3.465736,N
